00081	DAILYS MANGO TANGO MARGARITA			EACH	007480618950	1	2.49	0.00	1	2.49	-7	7480618950	SPIRITS	SPIRITS	COCKTAILS-READY TO DRINK (RTD)	UNK	0.00	Y																				0.0000		0.00														0			-7			AbDILOSW	0	074806189504	2015-10-19				0	9.2500											
00082	REGANS ORANGE BITTERS			EACH	008800419015	1	7.99	0.00	1	7.99	0	0880041901	NON-ALCOHOLIC DRINKS	MISC	NON-ALCOHLOC DRINKS	UNK	0.00	Y																				6.1500		0.00														0			0			AbDILOSW	0	008800419015	2015-10-19				0	9.2500											
00083	ARBOR MIST PINA COLADA			EACH	008210073880	1	1.99	0.00	1	0.00	0	8210073880	WINE - $1 - $4.99	WINE	WINE - $1 - $4.99	UNK	0.00	Y																				1.1900		0.00														0			0			AbDILOSW	0	08210073880	2015-10-19				0	9.2500											
00084	CHIMAY BLUE ALE SINGLE			EACH	008170600003	1	5.99	0.00	1	0.00	-21	8170600003	BEER	BEER	BEER SINGLES	EAG	0.00	Y																				0.0000		0.00														0			-21			AbDILOSW	0	081706000037	2015-10-19				0	9.2500											
00085	AUGUSTIJN ALE			EACH	071016800101	1	4.49	0.00	1	0.00	0	1016800101	BEER	BEER	BEER	UNK	0.00	Y																				0.0000		0.00														0			0			AbDILOSW	0	71016800101	2015-10-19				0	9.2500											
00086	BLUE PANTS COFFEE MILK IPA 64 OZ			64OZ	000004000778	9	22.49	0.00	1	0.00	0	0000400077	BEER	BEER	GROWLERS	ASB	0.00	Y																				23.3333		0.00														0			0			AbDILOSW	0	000004000778	2015-10-19				0	9.2500											
00087	HIGH COTTON BELGIAN IPA 64 OZ			EACH	000040004242	1	10.39	0.00	1	0.00	0	0004000424	BEER	BEER	GROWLERS	UNK	0.00	Y																				0.0000		0.00														0			0			AbDILOSW	0	000040004242	2015-10-19				0	9.2500											
00088	LAGUNITAS UNDERCOVER 32 OZ			EACH	000040007431	1	4.99	0.00	1	0.00	0	0040007431	BEER	BEER	GROWLERS	UNK	0.00	Y																				0.0000		0.00														0			0			AbDILOSW	0	00040007431	2015-10-19				0	9.2500											
00089	ANGRY ORCHARD CRISP APPLE 64 OZ			EACH	000400058030	24	8.79	0.00	1	0.00	0	0400058030	BEER	BEER	GROWLERS	ATH	0.00	Y																				5.8300		0.00														0			0			AbDILOSW	0	00400058030	2015-10-19				0	9.2500											
00090	WEIHENSTEPHAN 64 OZ			EACH	040001586083	1	11.99	11.99	1	11.99	0	0001586083	BEER	BEER	GROWLERS	UNK	0.00	Y																				0.0000		0.00														0			0			AbDILOSW	0	40001586083	2015-10-19				0	9.2500											
00091	SPB DEVIL 64 OZ			EACH	000400095530	24	9.29	9.29	1	9.29	0	0400095530	BEER	BEER	GROWLERS	ATH	0.00	Y																				6.1300		0.00														0			0			AbDILOSW	0	00400095530	2015-10-19				0	9.2500											
00092	WISE TINY BOMB 64 OZ			EACH	040002573078	1	8.79	8.79	1	8.79	0	0002573078	BEER	BEER	GROWLERS	UNK	0.00	Y																				5.8300		0.00														0			0			AbDILOSW	0	40002573078	2015-10-19				0	9.2500											
00093	HIGH COTTON STOUT 32 OZ			EACH	000400038281	1	5.89	0.00	1	0.00	0	0400038281	BEER	BEER	GROWLERS	UNK	0.00	Y																				0.0000		0.00														0			0			AbDILOSW	0	00400038281	2015-10-19				0	9.2500											
00094	TENNESSEE BREWERY CUTAWAY IPA 32 OZ			EACH	004000150301	1	5.39	0.00	1	0.00	0	4000150301	BEER	BEER	GROWLERS	UNK	0.00	Y																				0.0000		0.00														0			0			AbDILOSW	0	04000150301	2015-10-19				0	9.2500											
00095	SAMUEL ADAMS REBEL 32 OZ			EACH	004000171301	1	4.49	4.49	1	4.49	0	4000171301	BEER	BEER	GROWLERS	UNK	0.00	Y																				3.0300		0.00														0			0			AbDILOSW	0	04000171301	2015-10-19				0	9.2500											
